aX,aY,aZ,gX,gY,gZ
-1105.00,-2009.00,-1272.00,-603.00,983.00,-141.00
-1671.00,-2112.00,-2484.00,-434.00,988.00,-7.00
-2063.00,-2195.00,-3059.00,-275.00,942.00,114.00
-2364.00,-2305.00,-3577.00,197.00,668.00,356.00
-2904.00,-2150.00,-3593.00,512.00,423.00,515.00
-3220.00,-1562.00,-3021.00,904.00,-328.00,713.00
-3250.00,-794.00,-2222.00,987.00,-628.00,632.00
-2969.00,-716.00,-2220.00,1379.00,-862.00,346.00
-2597.00,-180.00,-1605.00,1665.00,-960.00,313.00
-2845.00,587.00,-361.00,1912.00,-1152.00,390.00
-3199.00,1482.00,1355.00,1975.00,-1851.00,633.00
-3157.00,2801.00,4384.00,1799.00,-2172.00,664.00
-2620.00,3040.00,5104.00,1513.00,-2325.00,479.00
-1097.00,2762.00,5648.00,1547.00,-2182.00,359.00
-596.00,2444.00,6382.00,1670.00,-2019.00,304.00
-371.00,2140.00,7833.00,1853.00,-1932.00,416.00
272.00,1599.00,11349.00,1825.00,-1951.00,474.00
828.00,1317.00,12438.00,1684.00,-1654.00,484.00
1334.00,941.00,12731.00,1660.00,-1340.00,463.00
1429.00,622.00,12529.00,1647.00,-1058.00,528.00
1750.00,70.00,12421.00,1436.00,-900.00,1043.00
522.00,856.00,12647.00,1364.00,-981.00,1284.00
942.00,1185.00,14123.00,2747.00,7.00,588.00
83.00,2108.00,15118.00,3879.00,1128.00,235.00
-1660.00,3918.00,15259.00,3357.00,1155.00,521.00
-2812.00,5019.00,15068.00,2010.00,513.00,628.00
-2807.00,4225.00,14494.00,891.00,55.00,634.00
-3099.00,3632.00,13686.00,413.00,68.00,523.00
-4174.00,3759.00,12932.00,584.00,235.00,319.00
-4284.00,3907.00,13211.00,597.00,347.00,-227.00
-4300.00,4079.00,14404.00,418.00,307.00,-406.00
-4098.00,4175.00,15006.00,174.00,202.00,-484.00
-3653.00,4406.00,15318.00,-554.00,-64.00,-454.00
-3023.00,4583.00,14117.00,-1159.00,-183.00,-471.00
-2900.00,4089.00,13372.00,-2497.00,-675.00,-409.00
-2688.00,3279.00,12330.00,-2632.00,-798.00,-349.00
-2696.00,3212.00,11834.00,-2631.00,-822.00,-328.00
-2519.00,3402.00,11350.00,-2857.00,-914.00,-374.00
-1544.00,4366.00,11173.00,-2999.00,-988.00,-394.00
-1043.00,4796.00,11094.00,-3192.00,-725.00,-529.00
-583.00,4306.00,9906.00,-3253.00,-407.00,-647.00
-757.00,3840.00,8985.00,-3136.00,233.00,-865.00
-1323.00,3098.00,7138.00,-2963.00,459.00,-983.00
-1299.00,2750.00,6222.00,-2780.00,579.00,-1108.00
-1154.00,2349.00,5375.00,-2548.00,582.00,-1342.00
-767.00,900.00,4114.00,-2458.00,552.00,-1401.00
-507.00,27.00,3367.00,-2228.00,531.00,-1334.00
259.00,-1375.00,2083.00,-2052.00,578.00,-1252.00
459.00,-1815.00,1431.00,-1844.00,663.00,-1173.00
521.00,-2190.00,818.00,-1655.00,637.00,-985.00
460.00,-2921.00,85.00,-1614.00,540.00,-868.00
323.00,-3238.00,-147.00,-1198.00,507.00,-632.00
167.00,-3518.00,-819.00,-839.00,568.00,-612.00
245.00,-3641.00,-1101.00,-461.00,640.00,-659.00
464.00,-3739.00,-1208.00,342.00,817.00,-720.00
1055.00,-3658.00,-877.00,787.00,922.00,-690.00
1223.00,-3553.00,-335.00,1489.00,1031.00,-472.00
1227.00,-2821.00,998.00,1679.00,1050.00,-288.00
1028.00,-2374.00,1419.00,1807.00,1103.00,51.00
446.00,-1520.00,1602.00,1864.00,1137.00,202.00
55.00,-1030.00,1784.00,2019.00,1186.00,351.00
-275.00,-485.00,2231.00,2540.00,1318.00,598.00
-978.00,805.00,3855.00,2746.00,1344.00,721.00
-1430.00,1529.00,4954.00,2758.00,1021.00,1005.00
