aX,aY,aZ,gX,gY,gZ
-3538.00,-3.00,7339.00,-1641.00,37.00,-2066.00
-3454.00,-679.00,8106.00,-1171.00,432.00,-2832.00
-2717.00,-1013.00,9742.00,-909.00,681.00,-3343.00
-2007.00,-374.00,10198.00,-921.00,1218.00,-4088.00
-501.00,1641.00,9565.00,-1015.00,1320.00,-4188.00
597.00,2049.00,8587.00,-973.00,1168.00,-4123.00
1909.00,1742.00,7718.00,-379.00,1202.00,-3538.00
2829.00,184.00,7366.00,134.00,1811.00,-3092.00
2042.00,79.00,7728.00,1171.00,3017.00,-2092.00
1742.00,682.00,8213.00,1610.00,3008.00,-1915.00
1789.00,753.00,8231.00,1935.00,2812.00,-1816.00
1549.00,706.00,8561.00,2329.00,2273.00,-1511.00
2114.00,795.00,7942.00,2503.00,1511.00,-1484.00
2881.00,774.00,7574.00,2798.00,59.00,-1585.00
4269.00,-343.00,8747.00,2925.00,92.00,-1343.00
3851.00,-889.00,9826.00,3034.00,552.00,-925.00
2668.00,-1091.00,10534.00,2932.00,832.00,-231.00
605.00,-521.00,10063.00,2742.00,162.00,-94.00
1042.00,-160.00,8873.00,2732.00,-1547.00,-82.00
2715.00,530.00,6981.00,3043.00,-1740.00,-112.00
3576.00,598.00,6948.00,3331.00,-1422.00,15.00
4054.00,140.00,7802.00,3156.00,-171.00,1243.00
3448.00,-107.00,9388.00,2883.00,50.00,2074.00
2648.00,118.00,9141.00,2092.00,-731.00,3239.00
178.00,-1664.00,7651.00,1602.00,-1330.00,3304.00
-672.00,-1417.00,7179.00,1279.00,-2060.00,3056.00
-321.00,-568.00,6743.00,1191.00,-3103.00,2828.00
613.00,455.00,6979.00,1120.00,-2942.00,2799.00
764.00,889.00,7492.00,878.00,-2509.00,2605.00
2018.00,1316.00,7982.00,804.00,-2331.00,2628.00
2785.00,1028.00,8200.00,672.00,-2005.00,2697.00
3408.00,706.00,8471.00,57.00,-1040.00,2642.00
2983.00,145.00,9377.00,-384.00,-403.00,2555.00
2099.00,-187.00,9906.00,-1362.00,659.00,2398.00
683.00,-1.00,10691.00,-1806.00,858.00,2284.00
-268.00,605.00,10924.00,-2145.00,913.00,2167.00
-917.00,1019.00,10675.00,-2374.00,423.00,2108.00
-183.00,743.00,9252.00,-2384.00,244.00,2111.00
62.00,500.00,9065.00,-2705.00,1286.00,2075.00
694.00,399.00,9364.00,-2909.00,2237.00,1918.00
-100.00,779.00,9719.00,-3258.00,3598.00,1129.00
-728.00,1468.00,9964.00,-3387.00,3234.00,938.00
1762.00,817.00,9278.00,-3440.00,2198.00,1023.00
4253.00,-489.00,8796.00,-3608.00,538.00,1414.00
3985.00,-3122.00,9126.00,-3735.00,186.00,1499.00
2150.00,-3139.00,9390.00,-3243.00,-983.00,564.00
-1467.00,-496.00,7797.00,-2571.00,-1582.00,-398.00
-2718.00,248.00,6542.00,-2049.00,-1693.00,-1061.00
-3238.00,140.00,6180.00,-1536.00,-256.00,-1262.00
-2262.00,-325.00,7086.00,-1332.00,826.00,-1202.00
-1245.00,-236.00,7703.00,-845.00,1931.00,-1710.00
1101.00,-1054.00,7817.00,-506.00,1801.00,-2249.00
1717.00,-1134.00,7369.00,-57.00,1649.00,-2662.00
1412.00,-1292.00,7380.00,443.00,2371.00,-3071.00
-566.00,-1341.00,8184.00,569.00,3065.00,-3208.00
-1024.00,-722.00,8661.00,924.00,4027.00,-3266.00
1302.00,-79.00,8731.00,1283.00,4235.00,-3147.00
2162.00,-334.00,8793.00,1809.00,4394.00,-2913.00
2782.00,-637.00,9229.00,1982.00,4090.00,-2720.00
3524.00,-781.00,9645.00,2156.00,3744.00,-2416.00
2712.00,-103.00,9716.00,2455.00,2602.00,-1986.00
1455.00,1458.00,8337.00,2640.00,1555.00,-1998.00
1473.00,1898.00,7186.00,3202.00,-224.00,-1873.00
2033.00,2445.00,6162.00,3633.00,-413.00,-1684.00
2750.00,2964.00,6756.00,4047.00,-297.00,-1389.00
3774.00,2727.00,7583.00,4534.00,-126.00,-63.00
5218.00,616.00,8803.00,4622.00,-486.00,685.00
5415.00,-463.00,9580.00,4349.00,-1993.00,1329.00
3663.00,-1725.00,10904.00,3960.00,-2627.00,1607.00
2612.00,-2282.00,11122.00,3458.00,-3078.00,1950.00
1604.00,-1964.00,11268.00,2269.00,-3451.00,1940.00
155.00,-1024.00,10658.00,1677.00,-3262.00,1631.00
79.00,-897.00,9983.00,781.00,-2332.00,1128.00
2208.00,-595.00,7904.00,522.00,-1814.00,1192.00
3410.00,-516.00,7051.00,353.00,-1327.00,1457.00
4105.00,-402.00,6680.00,103.00,-732.00,2270.00
4000.00,-190.00,7275.00,-37.00,-692.00,2726.00
3592.00,48.00,7872.00,-317.00,-908.00,3407.00
2184.00,810.00,8847.00,-518.00,-1004.00,3478.00
1175.00,1339.00,9001.00,-1028.00,-1304.00,3172.00
935.00,1524.00,8309.00,-1194.00,-1416.00,2873.00
