aX,aY,aZ,gX,gY,gZ
-0.730,-0.043,0.849,53.589,14.038,265.381
-0.795,0.179,0.798,22.217,7.996,273.560
-0.762,0.429,0.881,-5.188,-2.808,275.024
-0.691,0.637,0.965,-18.066,-13.916,265.076
-0.593,0.706,1.029,-16.846,-18.494,244.934
-0.496,0.727,1.045,-14.160,-22.339,223.938
-0.431,0.696,0.994,-8.423,-16.968,206.299
-0.416,0.640,0.908,3.296,-11.414,185.669
-0.438,0.499,0.825,17.700,-10.010,168.945
-0.462,0.582,0.844,14.954,-11.658,167.053
-0.473,0.817,0.909,2.502,-17.761,172.119
-0.451,0.998,0.975,3.967,-24.963,169.434
-0.438,1.082,1.041,11.963,-29.846,158.997
-0.388,1.106,1.103,15.747,-33.142,143.250
-0.355,1.036,1.139,19.653,-35.400,123.291
-0.299,0.908,1.151,25.085,-34.485,103.210
-0.247,0.797,1.138,25.574,-30.151,83.984
-0.224,0.667,1.079,23.132,-23.621,67.749
